Company,Foreign,Data Source,Form Type,Filing date,Period end,R&D Expenses,Revenue,Cost of Revenue,URL
10x genomics inc,False,SEC EDGAR,10-Q,2019-11-12,2019-09-30,22.21,61.21,15.48,https://www.sec.gov/Archives/edgar/data/1770787/000119312519289931/
10x genomics inc,False,SEC EDGAR,10-Q,2020-05-12,2020-03-31,25.99,71.91,15.11,https://www.sec.gov/Archives/edgar/data/1770787/000119312520140382/
10x genomics inc,False,SEC EDGAR,10-Q,2020-08-12,2020-06-30,27.54,42.91,10.05,https://www.sec.gov/Archives/edgar/data/1770787/000162828020012520/
10x genomics inc,False,SEC EDGAR,10-Q,2020-11-12,2020-09-30,30.14,71.82,14.41,https://www.sec.gov/Archives/edgar/data/1770787/000177078720000009/
10x genomics inc,False,SEC EDGAR,10-Q,2021-05-07,2021-03-31,41.88,105.82,17.06,https://www.sec.gov/Archives/edgar/data/1770787/000177078721000031/
10x genomics inc,False,SEC EDGAR,10-Q,2021-08-06,2021-06-30,53.4,115.84,4.92,https://www.sec.gov/Archives/edgar/data/1770787/000177078721000044/
10x genomics inc,False,SEC EDGAR,10-Q,2021-11-05,2021-09-30,54.58,125.3,24.52,https://www.sec.gov/Archives/edgar/data/1770787/000177078721000054/
10x genomics inc,False,SEC EDGAR,10-Q,2022-05-05,2022-03-31,64.08,114.5,25.48,https://www.sec.gov/Archives/edgar/data/1770787/000177078722000029/
10x genomics inc,False,SEC EDGAR,10-Q,2022-08-09,2022-06-30,70.69,114.61,27.7,https://www.sec.gov/Archives/edgar/data/1770787/000177078722000049/
10x genomics inc,False,SEC EDGAR,10-Q,2022-11-03,2022-09-30,67.29,131.07,30.38,https://www.sec.gov/Archives/edgar/data/1770787/000177078722000057/
10x genomics inc,False,SEC EDGAR,10-Q,2023-05-04,2023-03-31,67.1,134.28,35.9,https://www.sec.gov/Archives/edgar/data/1770787/000177078723000029/
10x genomics inc,False,SEC EDGAR,10-Q,2023-08-04,2023-06-30,71.46,146.82,47.21,https://www.sec.gov/Archives/edgar/data/1770787/000177078723000047/
10x genomics inc,False,SEC EDGAR,10-Q,2023-11-03,2023-09-30,66.51,153.64,58.12,https://www.sec.gov/Archives/edgar/data/1770787/000177078723000053/
10x genomics inc,False,SEC EDGAR,10-Q,2024-04-30,2024-03-31,68.64,141.01,48.09,https://www.sec.gov/Archives/edgar/data/1770787/000177078724000036/
10x genomics inc,False,SEC EDGAR,10-Q,2024-08-08,2024-06-30,62.92,153.1,48.88,https://www.sec.gov/Archives/edgar/data/1770787/000177078724000060/
10x genomics inc,False,SEC EDGAR,10-Q,2024-10-29,2024-09-30,66.17,151.65,45.26,https://www.sec.gov/Archives/edgar/data/1770787/000177078724000073/
10x genomics inc,False,SEC EDGAR,10-Q,2025-05-09,2025-03-31,64.25,154.88,49.44,https://www.sec.gov/Archives/edgar/data/1770787/000177078725000032/
10x genomics inc,False,SEC EDGAR,10-Q,2025-08-08,2025-06-30,61.22,172.91,47.82,https://www.sec.gov/Archives/edgar/data/1770787/000177078725000051/
10x genomics inc,False,SEC EDGAR,10-Q,2025-11-07,2025-09-30,57.19,149.0,48.7,https://www.sec.gov/Archives/edgar/data/1770787/000162828025050332/
10x genomics inc,False,SEC EDGAR,10-Q,2026-05-08,2026-03-31,56.85,150.84,44.66,https://www.sec.gov/Archives/edgar/data/1770787/000162828026032388/
AT&T Inc.,False,SEC EDGAR,10-Q,2009-08-05,2009-06-30,,30734.0,12478.0,https://www.sec.gov/Archives/edgar/data/732717/000073271709000050/
AT&T Inc.,False,SEC EDGAR,10-Q,2009-11-05,2009-09-30,,30855.0,12885.0,https://www.sec.gov/Archives/edgar/data/732717/000073271709000091/
AT&T Inc.,False,SEC EDGAR,10-Q,2010-05-06,2010-03-31,,30649.0,12329.0,https://www.sec.gov/Archives/edgar/data/732717/000073271710000033/
AT&T Inc.,False,SEC EDGAR,10-Q,2010-08-06,2010-06-30,,30808.0,12381.0,https://www.sec.gov/Archives/edgar/data/732717/000073271710000074/
AT&T Inc.,False,SEC EDGAR,10-Q,2010-11-05,2010-09-30,,31581.0,13519.0,https://www.sec.gov/Archives/edgar/data/732717/000073271710000091/
AT&T Inc.,False,SEC EDGAR,10-Q,2011-05-06,2011-03-31,,31247.0,13403.0,https://www.sec.gov/Archives/edgar/data/732717/000119312511130267/
AT&T Inc.,False,SEC EDGAR,10-Q,2011-08-05,2011-06-30,,31495.0,13332.0,https://www.sec.gov/Archives/edgar/data/732717/000119312511211863/
AT&T Inc.,False,SEC EDGAR,10-Q,2011-11-03,2011-09-30,,31478.0,13165.0,https://www.sec.gov/Archives/edgar/data/732717/000073271711000094/
AT&T Inc.,False,SEC EDGAR,10-Q,2012-05-04,2012-03-31,,31822.0,12913.0,https://www.sec.gov/Archives/edgar/data/732717/000073271712000037/
AT&T Inc.,False,SEC EDGAR,10-Q,2012-08-03,2012-06-30,,31575.0,12369.0,https://www.sec.gov/Archives/edgar/data/732717/000073271712000073/
AT&T Inc.,False,SEC EDGAR,10-Q,2012-11-02,2012-09-30,,31459.0,12718.0,https://www.sec.gov/Archives/edgar/data/732717/000073271712000088/
AT&T Inc.,False,SEC EDGAR,10-Q,2013-05-03,2013-03-31,,31356.0,12554.0,https://www.sec.gov/Archives/edgar/data/732717/000073271713000036/
AT&T Inc.,False,SEC EDGAR,10-Q,2013-08-02,2013-06-30,,32075.0,13270.0,https://www.sec.gov/Archives/edgar/data/732717/000073271713000080/
AT&T Inc.,False,SEC EDGAR,10-Q,2013-11-01,2013-09-30,,32158.0,13403.0,https://www.sec.gov/Archives/edgar/data/732717/000073271713000099/
AT&T Inc.,False,SEC EDGAR,10-Q,2014-05-02,2014-03-31,,32476.0,13321.0,https://www.sec.gov/Archives/edgar/data/732717/000073271714000022/
AT&T Inc.,False,SEC EDGAR,10-Q,2014-08-01,2014-06-30,,32575.0,14212.0,https://www.sec.gov/Archives/edgar/data/732717/000073271714000110/
AT&T Inc.,False,SEC EDGAR,10-Q,2014-11-10,2014-06-30,,32575.0,14212.0,https://www.sec.gov/Archives/edgar/data/732717/000073271714000129/
AT&T Inc.,False,SEC EDGAR,10-Q,2014-11-10,2014-09-30,,32957.0,14541.0,https://www.sec.gov/Archives/edgar/data/732717/000073271714000134/
AT&T Inc.,False,SEC EDGAR,10-Q,2015-05-05,2015-03-31,,32576.0,14581.0,https://www.sec.gov/Archives/edgar/data/732717/000073271715000040/
AT&T Inc.,False,SEC EDGAR,10-Q,2015-08-07,2015-06-30,,33015.0,15140.0,https://www.sec.gov/Archives/edgar/data/732717/000073271715000079/
AT&T Inc.,False,SEC EDGAR,10-Q,2015-11-06,2015-09-30,,39091.0,,https://www.sec.gov/Archives/edgar/data/732717/000073271715000121/
AT&T Inc.,False,SEC EDGAR,10-Q,2016-05-05,2016-03-31,,40535.0,,https://www.sec.gov/Archives/edgar/data/732717/000073271716000160/
AT&T Inc.,False,SEC EDGAR,10-Q,2016-08-04,2016-06-30,,40520.0,,https://www.sec.gov/Archives/edgar/data/732717/000073271716000195/
AT&T Inc.,False,SEC EDGAR,10-Q,2016-11-03,2016-09-30,,40890.0,,https://www.sec.gov/Archives/edgar/data/732717/000073271716000233/
AT&T Inc.,False,SEC EDGAR,10-Q,2017-05-04,2017-03-31,,39365.0,,https://www.sec.gov/Archives/edgar/data/732717/000073271717000055/
AT&T Inc.,False,SEC EDGAR,10-Q,2017-08-03,2017-06-30,,39837.0,,https://www.sec.gov/Archives/edgar/data/732717/000073271717000080/
AT&T Inc.,False,SEC EDGAR,10-Q,2017-11-03,2017-09-30,,39668.0,,https://www.sec.gov/Archives/edgar/data/732717/000073271717000101/
AT&T Inc.,False,SEC EDGAR,10-Q,2018-05-03,2018-03-31,,38038.0,,https://www.sec.gov/Archives/edgar/data/732717/000073271718000024/
AT&T Inc.,False,SEC EDGAR,10-Q,2018-08-02,2018-06-30,,38986.0,,https://www.sec.gov/Archives/edgar/data/732717/000119312518236782/
AT&T Inc.,False,SEC EDGAR,10-Q,2018-11-02,2018-09-30,,45739.0,,https://www.sec.gov/Archives/edgar/data/732717/000073271718000090/
AT&T Inc.,False,SEC EDGAR,10-Q,2019-05-06,2019-03-31,,44827.0,,https://www.sec.gov/Archives/edgar/data/732717/000073271719000018/
AT&T Inc.,False,SEC EDGAR,10-Q,2019-05-07,2019-03-31,,44827.0,,https://www.sec.gov/Archives/edgar/data/732717/000073271719000021/
AT&T Inc.,False,SEC EDGAR,10-Q,2019-08-05,2019-06-30,,44957.0,,https://www.sec.gov/Archives/edgar/data/732717/000156276219000164/
AT&T Inc.,False,SEC EDGAR,10-Q,2019-11-05,2019-09-30,,44588.0,,https://www.sec.gov/Archives/edgar/data/732717/000073271719000056/
AT&T Inc.,False,SEC EDGAR,10-Q,2020-05-06,2020-03-31,,42779.0,,https://www.sec.gov/Archives/edgar/data/732717/000156276220000171/
AT&T Inc.,False,SEC EDGAR,10-Q,2020-08-05,2020-06-30,,40950.0,,https://www.sec.gov/Archives/edgar/data/732717/000156276220000279/
AT&T Inc.,False,SEC EDGAR,10-Q,2020-11-05,2020-09-30,,42340.0,,https://www.sec.gov/Archives/edgar/data/732717/000073271720000056/
AT&T Inc.,False,SEC EDGAR,10-Q,2021-05-06,2021-03-31,,43939.0,,https://www.sec.gov/Archives/edgar/data/732717/000073271721000030/
AT&T Inc.,False,SEC EDGAR,10-Q,2021-08-05,2021-06-30,,44045.0,,https://www.sec.gov/Archives/edgar/data/732717/000073271721000067/
AT&T Inc.,False,SEC EDGAR,10-Q,2021-11-04,2021-09-30,,39922.0,,https://www.sec.gov/Archives/edgar/data/732717/000073271721000080/
AT&T Inc.,False,SEC EDGAR,10-Q,2022-05-03,2022-03-31,,38105.0,,https://www.sec.gov/Archives/edgar/data/732717/000073271722000042/
AT&T Inc.,False,SEC EDGAR,10-Q,2022-08-04,2022-06-30,,29643.0,,https://www.sec.gov/Archives/edgar/data/732717/000073271722000093/
AT&T Inc.,False,SEC EDGAR,10-Q,2022-11-03,2022-09-30,,30043.0,,https://www.sec.gov/Archives/edgar/data/732717/000073271722000102/
AT&T Inc.,False,SEC EDGAR,10-Q,2023-05-01,2023-03-31,,30139.0,,https://www.sec.gov/Archives/edgar/data/732717/000073271723000022/
AT&T Inc.,False,SEC EDGAR,10-Q,2023-07-27,2023-06-30,,29917.0,,https://www.sec.gov/Archives/edgar/data/732717/000073271723000047/
AT&T Inc.,False,SEC EDGAR,10-Q,2023-10-31,2023-09-30,,30350.0,160.0,https://www.sec.gov/Archives/edgar/data/732717/000073271723000057/
AT&T Inc.,False,SEC EDGAR,10-Q,2024-05-02,2024-03-31,,30028.0,,https://www.sec.gov/Archives/edgar/data/732717/000073271724000022/
AT&T Inc.,False,SEC EDGAR,10-Q,2024-07-25,2024-06-30,,29797.0,,https://www.sec.gov/Archives/edgar/data/732717/000073271724000053/
AT&T Inc.,False,SEC EDGAR,10-Q,2024-10-29,2024-09-30,,30213.0,,https://www.sec.gov/Archives/edgar/data/732717/000073271724000059/
AT&T Inc.,False,SEC EDGAR,10-Q,2025-04-29,2025-03-31,,30626.0,,https://www.sec.gov/Archives/edgar/data/732717/000073271725000023/
AT&T Inc.,False,SEC EDGAR,10-Q,2025-07-24,2025-06-30,,30847.0,,https://www.sec.gov/Archives/edgar/data/732717/000073271725000080/
AT&T Inc.,False,SEC EDGAR,10-Q,2025-10-31,2025-09-30,,30709.0,,https://www.sec.gov/Archives/edgar/data/732717/000073271725000171/
AT&T Inc.,False,SEC EDGAR,10-Q,2026-04-27,2026-03-31,,31506.0,,https://www.sec.gov/Archives/edgar/data/732717/000073271726000206/
Accenture plc,False,SEC EDGAR,10-Q,2009-12-18,2009-11-30,,5382.53,3963.73,https://www.sec.gov/Archives/edgar/data/1467373/000119312509256007/
Accenture plc,False,SEC EDGAR,10-Q,2010-03-26,2010-02-28,,5176.44,3847.49,https://www.sec.gov/Archives/edgar/data/1467373/000119312510068566/
Accenture plc,False,SEC EDGAR,10-Q,2010-06-25,2010-05-31,,5571.02,4043.84,https://www.sec.gov/Archives/edgar/data/1467373/000119312510146681/
Accenture plc,False,SEC EDGAR,10-Q,2010-12-20,2010-11-30,,6045.65,4533.71,https://www.sec.gov/Archives/edgar/data/1467373/000119312510284423/
Accenture plc,False,SEC EDGAR,10-Q,2011-03-25,2011-02-28,,6053.62,4579.07,https://www.sec.gov/Archives/edgar/data/1467373/000119312511078142/
Accenture plc,False,SEC EDGAR,10-Q,2011-06-24,2011-05-31,,6720.11,4894.73,https://www.sec.gov/Archives/edgar/data/1467373/000119312511173233/
Accenture plc,False,SEC EDGAR,10-Q,2011-12-20,2011-11-30,,7074.5,5337.57,https://www.sec.gov/Archives/edgar/data/1467373/000119312511347254/
Accenture plc,False,SEC EDGAR,10-Q,2012-03-23,2012-02-29,,6797.25,5143.46,https://www.sec.gov/Archives/edgar/data/1467373/000119312512129729/
Accenture plc,False,SEC EDGAR,10-Q,2012-06-29,2012-05-31,,7154.69,5269.89,https://www.sec.gov/Archives/edgar/data/1467373/000146737312000009/
Accenture plc,False,SEC EDGAR,10-Q,2012-12-20,2012-11-30,,7219.96,5301.84,https://www.sec.gov/Archives/edgar/data/1467373/000146737312000263/
Accenture plc,False,SEC EDGAR,10-Q,2013-03-28,2013-02-28,,7058.04,5262.96,https://www.sec.gov/Archives/edgar/data/1467373/000146737313000192/
Accenture plc,False,SEC EDGAR,10-Q,2013-06-28,2013-05-31,,7198.14,5269.92,https://www.sec.gov/Archives/edgar/data/1467373/000146737313000331/
Accenture plc,False,SEC EDGAR,10-Q,2013-12-19,2013-11-30,,7358.75,5350.35,https://www.sec.gov/Archives/edgar/data/1467373/000146737313000578/
Accenture plc,False,SEC EDGAR,10-Q,2014-03-27,2014-02-28,,7130.67,5337.34,https://www.sec.gov/Archives/edgar/data/1467373/000146737314000163/
Accenture plc,False,SEC EDGAR,10-Q,2014-06-26,2014-05-31,,7735.64,5703.82,https://www.sec.gov/Archives/edgar/data/1467373/000146737314000303/
Accenture plc,False,SEC EDGAR,10-Q,2014-12-18,2014-11-30,,7895.72,5803.97,https://www.sec.gov/Archives/edgar/data/1467373/000146737314000566/
Accenture plc,False,SEC EDGAR,10-Q,2015-03-26,2015-02-28,,7493.33,5690.95,https://www.sec.gov/Archives/edgar/data/1467373/000146737315000156/
Accenture plc,False,SEC EDGAR,10-Q,2015-06-25,2015-05-31,,7770.38,5750.16,https://www.sec.gov/Archives/edgar/data/1467373/000146737315000294/
Accenture plc,False,SEC EDGAR,10-Q,2015-12-17,2015-11-30,,8013.16,5903.47,https://www.sec.gov/Archives/edgar/data/1467373/000146737315000591/
Accenture plc,False,SEC EDGAR,10-Q,2016-03-24,2016-02-29,,7945.56,6027.24,https://www.sec.gov/Archives/edgar/data/1467373/000146737316000774/
Accenture plc,False,SEC EDGAR,10-Q,2016-06-23,2016-05-31,,8434.76,6279.49,https://www.sec.gov/Archives/edgar/data/1467373/000146737316000915/
Accenture plc,False,SEC EDGAR,10-Q,2016-12-21,2016-11-30,,8515.52,6275.57,https://www.sec.gov/Archives/edgar/data/1467373/000146737316001180/
Accenture plc,False,SEC EDGAR,10-Q,2017-03-23,2017-02-28,,8317.67,6258.03,https://www.sec.gov/Archives/edgar/data/1467373/000146737317000154/
Accenture plc,False,SEC EDGAR,10-Q,2017-06-22,2017-05-31,,8867.04,6447.16,https://www.sec.gov/Archives/edgar/data/1467373/000146737317000277/
Accenture plc,False,SEC EDGAR,10-Q,2017-12-21,2017-11-30,,9523.22,7002.23,https://www.sec.gov/Archives/edgar/data/1467373/000146737317000506/
Accenture plc,False,SEC EDGAR,10-Q,2018-03-22,2018-02-28,,9585.44,7219.44,https://www.sec.gov/Archives/edgar/data/1467373/000146737318000142/
Accenture plc,False,SEC EDGAR,10-Q,2018-06-28,2018-05-31,,10315.0,7519.73,https://www.sec.gov/Archives/edgar/data/1467373/000146737318000228/
Accenture plc,False,SEC EDGAR,10-Q,2018-12-20,2018-11-30,,10605.55,,https://www.sec.gov/Archives/edgar/data/1467373/000146737318000424/
Accenture plc,False,SEC EDGAR,10-Q,2019-03-28,2019-02-28,,10454.13,,https://www.sec.gov/Archives/edgar/data/1467373/000146737319000130/
Accenture plc,False,SEC EDGAR,10-Q,2019-06-27,2019-05-31,,11099.69,,https://www.sec.gov/Archives/edgar/data/1467373/000146737319000217/
Accenture plc,False,SEC EDGAR,10-Q,2019-12-19,2019-11-30,,11358.96,,https://www.sec.gov/Archives/edgar/data/1467373/000146737319000395/
Accenture plc,False,SEC EDGAR,10-Q,2020-03-19,2020-02-29,,11141.5,,https://www.sec.gov/Archives/edgar/data/1467373/000146737320000158/
Accenture plc,False,SEC EDGAR,10-Q,2020-06-25,2020-05-31,,10991.31,,https://www.sec.gov/Archives/edgar/data/1467373/000146737320000251/
Accenture plc,False,SEC EDGAR,10-Q,2020-12-17,2020-11-30,,11762.18,,https://www.sec.gov/Archives/edgar/data/1467373/000146737320000431/
Accenture plc,False,SEC EDGAR,10-Q,2021-03-18,2021-02-28,,12088.12,,https://www.sec.gov/Archives/edgar/data/1467373/000146737321000106/
Accenture plc,False,SEC EDGAR,10-Q,2021-06-24,2021-05-31,,13263.8,,https://www.sec.gov/Archives/edgar/data/1467373/000146737321000161/
Accenture plc,False,SEC EDGAR,10-Q,2021-12-16,2021-11-30,,14965.15,,https://www.sec.gov/Archives/edgar/data/1467373/000146737321000297/
Accenture plc,False,SEC EDGAR,10-Q,2022-03-17,2022-02-28,,15046.69,,https://www.sec.gov/Archives/edgar/data/1467373/000146737322000144/
Accenture plc,False,SEC EDGAR,10-Q,2022-06-23,2022-05-31,,16158.8,,https://www.sec.gov/Archives/edgar/data/1467373/000146737322000201/
Accenture plc,False,SEC EDGAR,10-Q,2022-12-16,2022-11-30,,15747.8,,https://www.sec.gov/Archives/edgar/data/1467373/000146737322000370/
Accenture plc,False,SEC EDGAR,10-Q,2023-03-23,2023-02-28,,15814.16,,https://www.sec.gov/Archives/edgar/data/1467373/000146737323000124/
Accenture plc,False,SEC EDGAR,10-Q,2023-06-22,2023-05-31,,16564.58,,https://www.sec.gov/Archives/edgar/data/1467373/000146737323000221/
Accenture plc,False,SEC EDGAR,10-Q,2023-12-19,2023-11-30,,16224.3,,https://www.sec.gov/Archives/edgar/data/1467373/000146737323000403/
Accenture plc,False,SEC EDGAR,10-Q,2024-03-21,2024-02-29,,15799.51,,https://www.sec.gov/Archives/edgar/data/1467373/000146737324000108/
Accenture plc,False,SEC EDGAR,10-Q,2024-06-20,2024-05-31,,16466.83,,https://www.sec.gov/Archives/edgar/data/1467373/000146737324000196/
Accenture plc,False,SEC EDGAR,10-Q,2024-12-19,2024-11-30,,17689.54,,https://www.sec.gov/Archives/edgar/data/1467373/000146737324000352/
Accenture plc,False,SEC EDGAR,10-Q,2025-03-20,2025-02-28,,16659.3,,https://www.sec.gov/Archives/edgar/data/1467373/000146737325000100/
Accenture plc,False,SEC EDGAR,10-Q,2025-06-20,2025-05-31,,17727.87,,https://www.sec.gov/Archives/edgar/data/1467373/000146737325000169/
Accenture plc,False,SEC EDGAR,10-Q,2025-12-18,2025-11-30,,18742.12,,https://www.sec.gov/Archives/edgar/data/1467373/000146737325000222/
Accenture plc,False,SEC EDGAR,10-Q,2026-03-19,2026-02-28,,18044.07,,https://www.sec.gov/Archives/edgar/data/1467373/000146737326000014/
Adeia Inc.,False,SEC EDGAR,10-Q,2022-05-23,2022-03-31,9.61,2.04,37.26,https://www.sec.gov/Archives/edgar/data/1840292/000184029222000013/
Adeia Inc.,False,SEC EDGAR,10-Q,2022-08-12,2022-06-30,6.15,0.96,2.39,https://www.sec.gov/Archives/edgar/data/1840292/000184029222000024/
Adeia Inc.,False,SEC EDGAR,10-Q,2022-11-08,2022-09-30,11.17,1.37,3.42,https://www.sec.gov/Archives/edgar/data/1840292/000184029222000040/
Adeia Inc.,False,SEC EDGAR,10-Q,2023-05-10,2023-03-31,5.26,0.87,2.38,https://www.sec.gov/Archives/edgar/data/1840292/000184029223000021/
Adeia Inc.,False,SEC EDGAR,10-Q,2023-08-09,2023-06-30,4.95,0.91,1.52,https://www.sec.gov/Archives/edgar/data/1840292/000184029223000032/
Adeia Inc.,False,SEC EDGAR,10-Q,2023-11-14,2023-09-30,5.16,1.1,1.86,https://www.sec.gov/Archives/edgar/data/1840292/000184029223000047/
Adeia Inc.,False,SEC EDGAR,10-Q,2024-05-08,2024-03-31,3.79,0.95,1.48,https://www.sec.gov/Archives/edgar/data/1840292/000184029224000022/
Adeia Inc.,False,SEC EDGAR,10-Q,2024-08-06,2024-06-30,4.75,0.79,3.93,https://www.sec.gov/Archives/edgar/data/1840292/000184029224000041/
Adeia Inc.,False,SEC EDGAR,10-Q,2024-11-08,2024-09-30,4.51,0.43,1.11,https://www.sec.gov/Archives/edgar/data/1840292/000184029224000048/
Adeia Inc.,False,SEC EDGAR,10-Q,2025-05-07,2025-03-31,1.09,0.0,,https://www.sec.gov/Archives/edgar/data/1840292/000184029225000016/
Adobe Inc.,False,SEC EDGAR,10-Q,2009-06-26,2009-05-29,,660.05,72.01,https://www.sec.gov/Archives/edgar/data/796343/000079634309000026/
Adobe Inc.,False,SEC EDGAR,10-Q,2009-10-01,2009-08-28,,649.87,65.05,https://www.sec.gov/Archives/edgar/data/796343/000079634309000032/
Adobe Inc.,False,SEC EDGAR,10-Q,2010-04-09,2010-03-05,,703.94,89.37,https://www.sec.gov/Archives/edgar/data/796343/000079634310000007/
Adobe Inc.,False,SEC EDGAR,10-Q,2010-07-02,2010-06-04,,795.26,107.83,https://www.sec.gov/Archives/edgar/data/796343/000079634310000011/
Adobe Inc.,False,SEC EDGAR,10-Q,2010-10-08,2010-09-03,,829.1,99.08,https://www.sec.gov/Archives/edgar/data/796343/000079634310000014/
Adobe Inc.,False,SEC EDGAR,10-Q,2011-04-08,2011-03-04,,842.69,107.64,https://www.sec.gov/Archives/edgar/data/796343/000079634311000006/
Adobe Inc.,False,SEC EDGAR,10-Q,2011-06-29,2011-06-03,,830.28,109.2,https://www.sec.gov/Archives/edgar/data/796343/000079634311000010/
Adobe Inc.,False,SEC EDGAR,10-Q,2011-10-07,2011-09-02,,814.54,104.65,https://www.sec.gov/Archives/edgar/data/796343/000079634311000015/
Adobe Inc.,False,SEC EDGAR,10-Q,2012-03-30,2012-03-02,,808.52,108.27,https://www.sec.gov/Archives/edgar/data/796343/000079634312000013/
Adobe Inc.,False,SEC EDGAR,10-Q,2012-06-27,2012-06-01,,871.02,130.92,https://www.sec.gov/Archives/edgar/data/796343/000079634312000022/
Adobe Inc.,False,SEC EDGAR,10-Q,2012-09-27,2012-08-31,,810.46,119.62,https://www.sec.gov/Archives/edgar/data/796343/000079634312000029/
Adobe Inc.,False,SEC EDGAR,10-Q,2013-03-28,2013-03-01,,675.79,156.68,https://www.sec.gov/Archives/edgar/data/796343/000079634313000033/
Adobe Inc.,False,SEC EDGAR,10-Q,2013-06-28,2013-05-31,,644.9,135.28,https://www.sec.gov/Archives/edgar/data/796343/000079634313000044/
Adobe Inc.,False,SEC EDGAR,10-Q,2013-10-03,2013-08-30,,582.18,147.08,https://www.sec.gov/Archives/edgar/data/796343/000079634313000058/
Adobe Inc.,False,SEC EDGAR,10-Q,2014-03-28,2014-02-28,,471.45,148.51,https://www.sec.gov/Archives/edgar/data/796343/000079634314000023/
Adobe Inc.,False,SEC EDGAR,10-Q,2014-06-25,2014-05-30,,479.25,154.9,https://www.sec.gov/Archives/edgar/data/796343/000079634314000046/
Adobe Inc.,False,SEC EDGAR,10-Q,2014-09-25,2014-08-29,,349.15,157.72,https://www.sec.gov/Archives/edgar/data/796343/000079634314000092/
Adobe Inc.,False,SEC EDGAR,10-Q,2015-03-25,2015-02-27,,290.77,166.8,https://www.sec.gov/Archives/edgar/data/796343/000079634315000084/
Adobe Inc.,False,SEC EDGAR,10-Q,2015-06-24,2015-05-29,,274.54,185.17,https://www.sec.gov/Archives/edgar/data/796343/000079634315000151/
Adobe Inc.,False,SEC EDGAR,10-Q,2015-09-23,2015-08-28,,275.34,190.99,https://www.sec.gov/Archives/edgar/data/796343/000079634315000188/
Adobe Inc.,False,SEC EDGAR,10-Q,2016-03-30,2016-03-04,,201.11,198.57,https://www.sec.gov/Archives/edgar/data/796343/000079634316000290/
Adobe Inc.,False,SEC EDGAR,10-Q,2016-06-29,2016-06-03,,196.5,202.08,https://www.sec.gov/Archives/edgar/data/796343/000079634316000352/
Adobe Inc.,False,SEC EDGAR,10-Q,2016-09-27,2016-09-02,,180.96,202.7,https://www.sec.gov/Archives/edgar/data/796343/000079634316000395/
Adobe Inc.,False,SEC EDGAR,10-Q,2017-03-29,2017-03-03,,183.38,237.34,https://www.sec.gov/Archives/edgar/data/796343/000079634317000088/
Adobe Inc.,False,SEC EDGAR,10-Q,2017-06-28,2017-06-02,,171.54,239.36,https://www.sec.gov/Archives/edgar/data/796343/000079634317000130/
Adobe Inc.,False,SEC EDGAR,10-Q,2017-09-27,2017-09-01,,158.96,262.92,https://www.sec.gov/Archives/edgar/data/796343/000079634317000157/
Adobe Inc.,False,SEC EDGAR,10-Q,2018-03-28,2018-03-02,,171.61,258.9,https://www.sec.gov/Archives/edgar/data/796343/000079634318000065/
Adobe Inc.,False,SEC EDGAR,10-Q,2018-06-27,2018-06-01,,150.99,281.34,https://www.sec.gov/Archives/edgar/data/796343/000079634318000134/
Adobe Inc.,False,SEC EDGAR,10-Q,2018-09-26,2018-08-31,,149.13,295.49,https://www.sec.gov/Archives/edgar/data/796343/000079634318000160/
Adobe Inc.,False,SEC EDGAR,10-Q,2019-03-27,2019-03-01,,2600.95,397.29,https://www.sec.gov/Archives/edgar/data/796343/000079634319000079/
Adobe Inc.,False,SEC EDGAR,10-Q,2019-06-26,2019-05-31,,2744.28,407.49,https://www.sec.gov/Archives/edgar/data/796343/000079634319000142/
Adobe Inc.,False,SEC EDGAR,10-Q,2019-09-26,2019-08-30,,2834.13,415.96,https://www.sec.gov/Archives/edgar/data/796343/000079634319000165/
Adobe Inc.,False,SEC EDGAR,10-Q,2020-03-25,2020-02-28,,3091.0,452.0,https://www.sec.gov/Archives/edgar/data/796343/000079634320000064/
Adobe Inc.,False,SEC EDGAR,10-Q,2020-06-24,2020-05-29,,3128.0,415.0,https://www.sec.gov/Archives/edgar/data/796343/000079634320000143/
Adobe Inc.,False,SEC EDGAR,10-Q,2020-09-23,2020-08-28,,3225.0,427.0,https://www.sec.gov/Archives/edgar/data/796343/000079634320000201/
Adobe Inc.,False,SEC EDGAR,10-Q,2021-03-31,2021-03-05,,3905.0,447.0,https://www.sec.gov/Archives/edgar/data/796343/000079634321000069/
Adobe Inc.,False,SEC EDGAR,10-Q,2021-06-30,2021-06-04,,3835.0,444.0,https://www.sec.gov/Archives/edgar/data/796343/000079634321000159/
Adobe Inc.,False,SEC EDGAR,10-Q,2021-09-29,2021-09-03,,3935.0,467.0,https://www.sec.gov/Archives/edgar/data/796343/000079634321000210/
Adobe Inc.,False,SEC EDGAR,10-Q,2022-03-30,2022-03-04,,4262.0,512.0,https://www.sec.gov/Archives/edgar/data/796343/000079634322000099/
Adobe Inc.,False,SEC EDGAR,10-Q,2022-06-29,2022-06-03,,4386.0,539.0,https://www.sec.gov/Archives/edgar/data/796343/000079634322000157/
Adobe Inc.,False,SEC EDGAR,10-Q,2022-09-28,2022-09-02,,4433.0,546.0,https://www.sec.gov/Archives/edgar/data/796343/000079634322000196/
Adobe Inc.,False,SEC EDGAR,10-Q,2023-03-29,2023-03-03,,4655.0,568.0,https://www.sec.gov/Archives/edgar/data/796343/000079634323000055/
