official_name,entity_type,total_patents,total_citations,notes,raw_variants,cik,form_type,cik_source
"Institute of Microelectronics, Chinese Academy of Sciences",Research institute,191,31,,institute of micorelectronics chinese academy of sciences; institute of microeelectronics chinese academy of sciences; institute of microelectronics chinese aacademy of sciences; institute of microelectronics chinese academy of sciences; institute of microelectronics chinese academy sciences; institute of microelectronics of chinese academy of sciences; institute of microelectronics of the chinese academy of sciences; institute of microeletronics chinese academy of sciences,,,not found
sas institute inc,,189,555,,sas institute inc,,,not found
Resonac Corporation,Parent,189,22,Merged w/ Hitachi Chemical; rebranded Resonac Jan 2023,hitachi chemical company ltd; resonac corporation; showa denko kk; showa denko materials co ltd,,,not found
national taiwan university,,185,37,,national taiwan university,,,not found
boe technology group co ltd,,178,28,,boe technology group co ltd,,,not found
raytheon company,,178,65,,raytheon company,,,not found
tata consultancy services limited,,175,20,,tata consultancy services limited,,,not found
korea advanced institute of science and technology,,174,46,,korea advanced institute of science and technology,,,not found
fujian jinhua integrated circuit co ltd,,170,64,,fujian jinhua integrated circuit co ltd,,,not found
inventec corporation,,169,65,,inventec corporation,,,not found
vanguard international semiconductor corporation,,164,45,,vanguard international semiconductor corporation,,,not found
"Ant Group Co., Ltd.",Subsidiary,164,24,Ant Group / fintech affiliate,advanced new technologies co ltd; alipay hangzhou information technology co ltd,,,not found
nexperia bv,,163,0,,nexperia bv,,,not found
"Innoscience Technology Co., Ltd.",Subsidiary,162,12,Suzhou fab,innoscience suzhou semiconductor co ltd; innoscience suzhou technology co ltd; innoscience zhuhai technology co ltd,,,not found
Lenovo Group Limited,Subsidiary,161,17,Enterprise Solutions – Singapore,lenovo beijing limited; lenovo enterprise solutions singapore pte ltd; lenovo singapore pte ltd,,,not found
"Samsung Electro-Mechanics Co., Ltd.",Samsung subsidiary,156,120,~38% owned by Samsung Electronics,samsung electromechanics co ltd,,,not found
industrial technology research institute,,155,25,,industrial technology research institute,,,not found
seoul national university rdb foundation,,154,11,,seoul national university rdb foundation,,,not found
toyota jidosha kabushiki kaisha,,154,24,,toyota jidosha kabushiki kaisha,,,not found
cooler master co ltd,,145,62,,cooler master co ltd,,,not found
